participantId,task,format,response,start_time,end_time,duration_sec,help_count,correct_answer,correct
66049694dfb8828a8f3dce70,reading-task-tabular-2,yaml,quiz2,1745929836318.0,1745929881563.0,45.245,0,quiz2,1
66049694dfb8828a8f3dce70,reading-task-tabular-3,yaml,4,1745929891686.0,1745929925232.0,33.546,0,4,1
66049694dfb8828a8f3dce70,reading-task-tabular-4,yaml,Bob,1745929931328.0,1745929962037.0,30.709,0,Bob,1
66049694dfb8828a8f3dce70,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1745929968606.0,1745930057936.0,89.33,0,"[Bob, Alice], [Eve]",1
67ab214c2cde1be7c45535ac,reading-task-tabular-1,jsonc,87,1745933107504.0,1745933188927.0,81.423,0,87,1
67ab214c2cde1be7c45535ac,reading-task-tabular-2,jsonc,quiz2,1745933200888.0,1745933217879.0,16.991,0,quiz2,1
67ab214c2cde1be7c45535ac,reading-task-tabular-3,jsonc,4,1745933223832.0,1745933234811.0,10.979,0,4,1
67ab214c2cde1be7c45535ac,reading-task-tabular-4,jsonc,Bob,1745933241737.0,1745933264427.0,22.69,0,Bob,1
67ab214c2cde1be7c45535ac,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1745933272279.0,1745933317616.0,45.337,0,"[Bob, Alice], [Eve]",1
607728dc0b4f8590b94ae57c,reading-task-tabular-1,jsonc,87,1746383839380.0,1746383875741.0,36.361,0,87,1
607728dc0b4f8590b94ae57c,reading-task-tabular-2,jsonc,quiz2,1746383880220.0,1746383919208.0,38.988,0,quiz2,1
607728dc0b4f8590b94ae57c,reading-task-tabular-3,jsonc,4,1746383924359.0,1746384174731.0,250.372,0,4,1
607728dc0b4f8590b94ae57c,reading-task-tabular-4,jsonc,Bob,1746384178834.0,1746384205008.0,26.174,0,Bob,1
607728dc0b4f8590b94ae57c,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746384208264.0,1746384273795.0,65.531,0,"[Bob, Alice], [Eve]",1
667c18ace97ab6869cb1c50e,reading-task-tabular-1,hjson,87,1746385550356.0,1746385614539.0,64.183,0,87,1
667c18ace97ab6869cb1c50e,reading-task-tabular-2,hjson,quiz2,1746385618669.0,1746385676505.0,57.836,0,quiz2,1
667c18ace97ab6869cb1c50e,reading-task-tabular-3,hjson,4,1746385682087.0,1746385720873.0,38.786,0,4,1
667c18ace97ab6869cb1c50e,reading-task-tabular-4,hjson,Bob,1746385724377.0,1746385745522.0,21.145,0,Bob,1
667c18ace97ab6869cb1c50e,reading-task-tabular-5,hjson,"['Eve', 'Alice', 'Bob']",1746385748559.0,1746385786724.0,38.165,0,"[Bob, Alice], [Eve]",0
667ac09492ea0caadf488520,reading-task-tabular-1,json,8,1746489141734.0,1746489231720.0,89.986,0,87,0
667ac09492ea0caadf488520,reading-task-tabular-2,json,quiz1,1746489241760.0,1746489385584.0,143.824,0,quiz2,0
667ac09492ea0caadf488520,reading-task-tabular-3,json,5,1746489399271.0,1746489508187.0,108.916,0,4,0
667ac09492ea0caadf488520,reading-task-tabular-4,json,Bob,1746489515457.0,1746489547753.0,32.296,0,Bob,1
667ac09492ea0caadf488520,reading-task-tabular-5,json,"['Bob', 'Alice', 'Eve']",1746489560790.0,1746489646682.0,85.892,0,"[Bob, Alice], [Eve]",0
6740ae39809389d7da9de209,reading-task-tabular-1,xml,87,1746144511661.0,1746144660143.0,148.482,0,87,1
6740ae39809389d7da9de209,reading-task-tabular-2,xml,quiz2,1746144675332.0,1746144774746.0,99.414,0,quiz2,1
6740ae39809389d7da9de209,reading-task-tabular-3,xml,4,1746144781608.0,1746144830064.0,48.456,0,4,1
6740ae39809389d7da9de209,reading-task-tabular-4,xml,Bob,1746144838558.0,1746144925703.0,87.145,0,Bob,1
